order,start_local,end_local,name,ra_deg,dec_deg,bright_mag,var_type,exposure_seconds,frame_count,integration_minutes,score,effective_score
1,2026-05-30T20:30:00-04:00,2026-05-30T21:00:00-04:00,Gaia DR3 1454878252642442624,205.562870,28.390470,12.00,SR|M,30,60,30,112.0,112.0
2,2026-05-30T21:03:00-04:00,2026-05-30T21:33:00-04:00,BV Boo,205.516110,22.913780,11.70,LB,30,60,30,98.0,98.0
3,2026-05-30T21:36:00-04:00,2026-05-30T22:06:00-04:00,VX CVn,202.418380,41.091170,10.20,SRA,30,60,30,98.0,98.0
4,2026-05-30T22:09:00-04:00,2026-05-30T22:39:00-04:00,ZZ CVn,209.796250,45.471220,10.90,LB,30,60,30,94.0,94.0
5,2026-05-30T22:42:00-04:00,2026-05-30T23:12:00-04:00,TW CVn,194.838260,43.887670,11.00,LB,30,60,30,88.0,100.0
6,2026-05-30T23:15:00-04:00,2026-05-30T23:30:00-04:00,UY CVn,186.224290,45.584640,9.26,LB,15,60,15,94.0,124.0
7,2026-05-30T23:33:00-04:00,2026-05-30T23:48:00-04:00,RW CVn,209.889470,37.197310,8.27,SRB,15,60,15,92.0,110.0
8,2026-05-30T23:51:00-04:00,2026-05-30T23:56:00-04:00,RV Boo,219.816090,32.539530,7.50,SRB,5,60,5,59.0,59.0
