rank,score,global_score,name,type,ra_deg,dec_deg,max_mag,min_mag_or_amplitude,min_is_amplitude,amplitude_mag,period_days,primary_site,observable_sites,max_altitude_deg,minutes_above_minimum,best_night_date,best_local_time,galactic_latitude_deg,aavso_status,aavso_recent_observations,aavso_derived_period_days,aavso_period_disagrees,simbad_status,simbad_main_id,simbad_object_type,simbad_separation_arcsec,gaia_status,gaia_source_id,gaia_bp_rp,gaia_color_anomaly,ztf_status,ztf_observations,ztf_amplitude_mag,ztf_derived_period_days,ztf_period_disagrees,vsx_url,reasons
58,68.1,77.0,AI Her,M,253.43666,48.95062,10.000,14.500,False,4.500,407.00000000,Jersey City,Fairbanks|Jersey City,67.1,150,2026-09-18,2026-09-18T20:00:00-04:00,39.1,ok,24,207.2563,,,,,,ok,1408973646476060672,6.303,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=14874,"max altitude 67.1 deg from Jersey City; usable nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 4.50 mag; bright enough for Jersey City (10.00); long-period cadence friendly (407.00 d); well away from Galactic plane (b=39.1 deg); also observable from Fairbanks; AAVSO has 24 recent observations; Gaia ipd_frac_multi_peak=12.00 suggests blended/contaminated PSF"
59,67.0,75.0,TT And,EA,348.34543,46.14753,11.500,13.100,False,1.600,2.76509020,Jersey City,Fairbanks|Jersey City,84.5,300,2026-09-21,2026-09-22T00:00:00-04:00,-13.4,,,,,,,,,ok,1941344326105944192,0.423,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=27,"max altitude 84.5 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 1.60 mag; bright enough for Jersey City (11.50); also observable from Fairbanks"
60,67.0,75.0,AS And,EA,354.75763,47.24683,13.800,15.200,False,1.400,2.42060200,Jersey City,Fairbanks|Jersey City,83.5,270,2026-09-21,2026-09-22T00:30:00-04:00,-13.9,,,,,,,,,ok,1939967806267394560,0.737,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=72,"max altitude 83.5 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 1.40 mag; bright enough for Jersey City (13.80); also observable from Fairbanks"
61,66.5,85.2,AD CrB,SRB:,241.78609,32.37958,8.730,9.110,False,0.380,,Jersey City,Fairbanks|Jersey City,55.5,60,2026-09-18,2026-09-18T20:00:00-04:00,47.6,ok,21,,,,,,,ok,1322354154800172160,3.591,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=10657,"max altitude 55.5 deg from Jersey City; uncertain or broad VSX type (SRB:); classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 0.38 mag; bright enough for Jersey City (8.73); no catalog period listed; well away from Galactic plane (b=47.6 deg); also observable from Fairbanks; AAVSO has 21 recent observations; Gaia ipd_frac_multi_peak=3.00 suggests blended/contaminated PSF"
62,66.1,72.2,TU Her,EA/SD,258.39737,30.71000,10.860,14.300,False,3.440,2.26695600,Jersey City,Fairbanks|Jersey City,67.1,120,2026-09-18,2026-09-18T20:00:00-04:00,33.3,,,,,,,,,,,,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=14839,"max altitude 67.1 deg from Jersey City; usable nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 3.44 mag; bright enough for Jersey City (10.86); well away from Galactic plane (b=33.3 deg); also observable from Fairbanks"
63,66.0,73.5,RV Her,M,255.13852,31.22328,9.000,15.500,False,6.500,205.23000000,Jersey City,Fairbanks|Jersey City,65.0,120,2026-09-18,2026-09-18T20:00:00-04:00,36.2,unavailable,,,,,,,,ok,1310298456477806976,5.233,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=14825,"max altitude 65.0 deg from Jersey City; usable nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 6.50 mag; bright enough for Jersey City (9.00); long-period cadence friendly (205.23 d); well away from Galactic plane (b=36.2 deg); also observable from Fairbanks; AAVSO recent-coverage check unavailable; Gaia ipd_frac_multi_peak=3.00 suggests blended/contaminated PSF"
64,66.0,76.8,EP Her,RRAB,268.78909,26.60517,12.300,13.600,False,1.300,0.42571300,Jersey City,Fairbanks|Jersey City,71.2,150,2026-09-18,2026-09-18T20:00:00-04:00,23.4,unavailable,,,,,,,,ok,4583594875026748288,0.701,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=14970,"max altitude 71.2 deg from Jersey City; usable nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 1.30 mag; bright enough for Jersey City (12.30); time-series candidate (0.4257 d); also observable from Fairbanks; AAVSO recent-coverage check unavailable"
65,65.5,70.6,RT Her,M,257.70007,27.06642,8.500,15.500,False,7.000,298.08000000,Jersey City,Fairbanks|Jersey City,64.5,120,2026-09-18,2026-09-18T20:00:00-04:00,33.0,unavailable,,,,,,,,ok,4574744287457376768,5.725,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=14823,"max altitude 64.5 deg from Jersey City; usable nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 7.00 mag; bright enough for Jersey City (8.50); long-period cadence friendly (298.08 d); well away from Galactic plane (b=33.0 deg); also observable from Fairbanks; AAVSO recent-coverage check unavailable; Gaia ipd_frac_multi_peak=11.00 suggests blended/contaminated PSF"
66,65.4,65.4,BG Her,M,257.36981,18.68055,9.600,12.500,False,2.900,347.74000000,Jersey City,Fairbanks|Jersey City,58.4,90,2026-09-18,2026-09-18T20:00:00-04:00,30.6,,,,,,,,,,,,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=14896,"max altitude 58.4 deg from Jersey City; usable nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 2.90 mag; bright enough for Jersey City (9.60); long-period cadence friendly (347.74 d); well away from Galactic plane (b=30.6 deg); also observable from Fairbanks"
67,65.0,65.0,RR And,M,12.84717,34.37689,8.400,15.600,False,7.200,330.60000000,Jersey City,Fairbanks|Jersey City,74.2,180,2026-09-21,2026-09-22T00:30:00-04:00,-28.5,ok,79,328.8500,,,,,,,,,,,,,,,https://www.aavso.org/vsx/index.php?view=detail.top&oid=10,"max altitude 74.2 deg from Jersey City; long nightly window from Jersey City; classical GCVS variable, suitable for practice and follow-up; catalog amplitude about 7.20 mag; bright enough for Jersey City (8.40); long-period cadence friendly (330.60 d); well away from Galactic plane (b=-28.5 deg); also observable from Fairbanks; well-covered in AAVSO recently (79 observations)"
