order,start_local,end_local,name,ra_deg,dec_deg,max_mag,var_type,exposure_seconds,frame_count,integration_minutes,score,effective_score
1,2026-05-05T20:00:00-04:00,2026-05-05T20:30:00-04:00,RU Leo,163.289220,24.358640,10.30,LB,30,60,30,92.0,92.0
2,2026-05-05T20:33:00-04:00,2026-05-05T21:03:00-04:00,Gaia DR3 834495451075774976,157.120300,48.238280,11.95,L,30,60,30,88.0,88.0
3,2026-05-05T21:06:00-04:00,2026-05-05T21:21:00-04:00,CT Dra,175.288710,75.472640,9.80,LB,15,60,15,79.2,79.2
4,2026-05-05T21:24:00-04:00,2026-05-05T21:39:00-04:00,XX Cnc,130.821620,20.600390,8.30,LB,15,60,15,59.5,83.5
